A
AAL
AAPL
ABBV
ABT
ABX
ADBE
ADM
ADSK
AEM
AET
AFL
AGN
AGNC
AGO
AIG
AKAM
AKS
ALL
AMAT
AMD
AMED
AMGN
AMRN
AMZN
ANF
ANTM
APA
APC
ARNA
ARNC
ASHR
ATVI
AUY
AXP
BA
BABA
BAC
BAX
BBBY
BBD
BBRY
BBT
BBY
BCRX
BHI
BHP
BIDU
BK
BMY
BP
BPOP
BRCD
BRKB
BSX
BX
C
CAT
CBS
CELG
CENX
CF
CHK
CI
CIEN
CIT
CL
CLF
CMA
CMCSA
CNX
COF
COP
COST
COTY
CREE
CRM
CSCO
CSX
CTIC
CVS
CVX
CX
DAL
DB
DD
DDD
DE
DHI
DIA
DIS
DO
DOW
DVN
DXJ
EA
EBAY
EEM
EFA
EOG
ESRX
ETE
ETFC
EWJ
EWT
EWW
EWY
EWZ
F
FAS
FAZ
FB
FCX
FDX
FEYE
FFIV
FH
FIS
FIT
FITB
FLEX
FSLR
FXE
FXI
FXP
GDX
GDXJ
GE
GFI
GG
GGP
GILD
GIS
GLD
GLW
GM
GME
GNW
GPRO
GPS
GRMN
GRPN
GS
HAL
HBAN
HD
HES
HIG
HL
HLF
HOG
HON
HPQ
HSBC
HSY
HYG
IBM
IBN
INTC
IP
IWM
IYR
JCI
JCP
JD
JNJ
JNPR
JPM
JWN
KBH
KCG
KEY
KGC
KMI
KO
KRE
LEN
LLY
LNC
LNG
LOW
LULU
LVS
M
MA
MBI
MCD
MCO
MDLZ
MDT
MET
MGM
MMM
MNKD
MNX
MO
MON
MOS
MRK
MRO
MRVL
MS
MSFT
MSI
MT
MTG
MU
MYL
NBR
NE
NEM
NFLX
NKE
NLY
NOK
NOV
NQ
NTAP
NUE
NUGT
NVDA
ODP
OIH
ORCL
OXY
P
PBR
PEP
PFE
PG
PHM
PLUG
PM
PNC
POT
PRU
PYPL
QCOM
QID
QLD
QQQ
RAD
RCL
RF
RIG
RMBS
RSX
RTN
S
SBUX
SDS
SEED
SHLD
SINA
SIRI
SKF
SLB
SLM
SLV
SLW
SO
SPG
SPWR
SPY
SRPT
SRS
SSO
STI
STT
STX
SU
SVXY
SWN
SYMC
T
TBT
TECK
TEVA
TGT
TIF
TLT
TM
TMUS
TNA
TSLA
TSO
TWLO
TWTR
TWX
TXN
TXT
TZA
UAA
UAL
UNG
UNH
UNP
UPS
URE
USB
USO
UTX
UUP
UVXY
UYG
V
VALE
VIAV
VLO
VOD
VRSN
VRX
VVUS
VXX
VZ
WBA
WDC
WFC
WFM
WFT
WHR
WIN
WLL
WMB
WMT
WYNN
X
XBI
XHB
XL
XLB
XLE
XLF
XLI
XLK
XLNX
XLP
XLU
XLV
XLY
XME
XOM
XOP
XRT
XRX
YHOO
YRCW
YUM
ZION
ZNGA
